rid,PrimaryKey,DBKey,ProjectKey,DateVisited,EcologicalSiteId,PercentCoveredByEcoSite,Latitude_NAD83,Longitude_NAD83,LocationStatus,LocationType,Latitude_NAD83_Actual,Longitude_NAD83_Actual,BareSoilCover,TotalFoliarCover,AH_AnnGrassCover,AH_ForbCover,AH_GrassCover,AH_PerenForbCover,AH_PerenForbGrassCover,AH_PerenGrassCover,AH_ShrubCover,FH_CyanobacteriaCover,FH_DepSoilCover,FH_DuffCover,FH_EmbLitterCover,FH_HerbLitterCover,FH_LichenCover,FH_MossCover,FH_RockCover,FH_TotalLitterCover,FH_VagrLichenCover,FH_WaterCover,FH_WoodyLitterCover,GapCover_101_200,GapCover_200_plus,GapCover_25_50,GapCover_25_plus,GapCover_51_100,Hgt_Forb_Avg,Hgt_Grass_Avg,Hgt_Herbaceous_Avg,Hgt_PerenForb_Avg,Hgt_PerenForbGrass_Avg,Hgt_PerenGrass_Avg,Hgt_Woody_Avg,RH_AnnualProd,RH_BareGround,RH_BioticIntegrity,RH_CommentsBI,RH_CommentsHF,RH_CommentsSS,RH_Compaction,RH_DeadDyingPlantParts,RH_FuncSructGroup,RH_Gullies,RH_HydrologicFunction,RH_InvasivePlants,RH_LitterAmount,RH_LitterMovement,RH_PedestalsTerracettes,RH_PlantCommunityComp,RH_ReprodCapabilityPeren,RH_Rills,RH_SoilSiteStability,RH_SoilSurfLossDeg,RH_SoilSurfResisErosion,RH_WaterFlowPatterns,RH_WindScouredAreas,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,DateLoadedInDb,mlra_name,mlrarsym,na_l1name,na_l2name,us_l3name,us_l4name,State,modis_landcover,horizontal_flux_total_MD,vertical_flux_MD,PM2_5_MD,PM10_MD
17995,16062008475768452016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-20T00:00:00.000Z,R025XY003ID,NA,42.19396528,-114.5432337,NA,NA,NA,NA,1.33333333,76.66666667,48,25.33333333,71.33333333,6.66666667,49.33333333,44.66666667,0.66666667,0,0,0,0,12.66666667,0.66666667,0,8.66666667,12.66666667,0,0,0,NA,NA,NA,NA,NA,39.14285714,35.60869565,36.43333333,54,37.10526316,36.16666667,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27777778,4,4.45454545,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.000452202,0,0,0
17996,16062109461747432016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-21T00:00:00.000Z,R025XY041ID,NA,42.29558808,-114.5037498,NA,NA,NA,NA,2.66666667,92.66666667,76.66666667,9.33333333,81.33333333,0.66666667,16.66666667,16,30.66666667,0,0,0,0,3.33333333,0,0,1.33333333,3.33333333,0,0,0,0,0,0,0,0,70,50.13043478,54.24137931,NA,47.6,47.6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27777778,3.85714286,5.75,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.000276189,0,0,0
17997,16062919032058022016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-30T00:00:00.000Z,R025XY011ID,NA,42.07204657,-114.486466,NA,NA,NA,NA,4.66666667,54,0,3.33333333,48,0.66666667,48.66666667,48,0.66666667,0,0,0,0,41.33333333,0,0,0,41.33333333,0,0,0,NA,NA,NA,NA,NA,NA,33.75,33.75,NA,33.75,33.75,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888889,4.77777778,3,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.005332123,0,0,0
17998,16063013313360022016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-30T00:00:00.000Z,R025XY003ID,NA,42.08070825,-114.4642862,NA,NA,NA,NA,21.33333333,52.66666667,0,10,31.33333333,5.33333333,35.33333333,31.33333333,32,0,0,0,0,4.66666667,0,0,20,6,0,0,1.33333333,NA,NA,NA,NA,NA,8.33333333,31.37037037,29.06666667,9,30.57142857,31.37037037,26.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555556,4.875,4.3,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.126860469,0,0,0
17999,16071114374835392016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-11T00:00:00.000Z,R025XY004ID,NA,42.26351186,-114.4781631,NA,NA,NA,NA,1.33333333,78,40,8.66666667,68.66666667,0,44,44,15.33333333,0,0,0,0,18,0,0,2.66666667,18,0,0,0,NA,NA,NA,NA,NA,NA,58.13333333,58.13333333,NA,42.5,42.5,22.64705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05555556,5.30769231,4.4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
18000,16071211592040772016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-12T00:00:00.000Z,R011XY001ID,NA,42.14010831,-114.6601294,NA,NA,NA,NA,13.33333333,68,5.33333333,0,66,0,63.33333333,63.33333333,4,0,0,0,0,13.33333333,0.66666667,0,4.66666667,13.33333333,0,0,0,NA,NA,NA,NA,NA,NA,42.93333333,42.93333333,NA,42.93333333,42.93333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38888889,5,3.77777778,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.001432009,0,0,0
18001,16071308523241012016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-13T00:00:00.000Z,R025XY040ID,NA,42.00822004,-114.7070903,NA,NA,NA,NA,8.66666667,38.66666667,0,0,10.66666667,0,10.66666667,10.66666667,34,0,0,0,0,30.66666667,0,0,20.66666667,32,0,0,1.33333333,NA,NA,NA,NA,NA,NA,19.41666667,19.41666667,NA,20,20,34.08695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33333333,2.85714286,5.27272727,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.100855338,0,0,0
18002,16071316531618112016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-13T00:00:00.000Z,R011XY001ID,NA,42.06067036,-114.6960669,NA,NA,NA,NA,6,74,56.66666667,0,68.66666667,0,18,18,23.33333333,0,0,0,0,10.66666667,0,0,8.66666667,11.33333333,0,0,0.66666667,NA,NA,NA,NA,NA,NA,36.03333333,36.03333333,NA,42.57142857,42.57142857,44.80952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38888889,3,4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.024358186,0,0,0
18003,16071811464854802016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-18T00:00:00.000Z,R025XY019ID,NA,42.01767796,-114.5506395,NA,NA,NA,NA,12,64.66666667,0,2,62.66666667,2,62.66666667,62.66666667,14.66666667,0,0,0,0,20,0,0,3.33333333,20,0,0,0,NA,NA,NA,NA,NA,NA,66.56666667,66.56666667,NA,66.56666667,66.56666667,38.27272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555556,5.58333333,2.5,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.001641304,0,0,0
18004,16071907383868692016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-19T00:00:00.000Z,R025XY003ID,NA,42.06817219,-114.5274182,NA,NA,NA,NA,14.66666667,63.33333333,0.66666667,6,60,4.66666667,62,60,0.66666667,0,0,0,0,16.66666667,0,0,5.33333333,16.66666667,0,0,0,NA,NA,NA,NA,NA,25,53.37931034,52.43333333,25,52.43333333,53.37931034,48.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27777778,3.875,2.8,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.0039224,0,0,0
18005,16071915501336442016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-19T00:00:00.000Z,R011XY001ID,NA,42.13542826,-114.7088946,NA,NA,NA,NA,6.66666667,48.66666667,0,8,36,2,38,36,12,0,0,0,0,34.66666667,0,0,10,34.66666667,0,0,0,NA,NA,NA,NA,NA,NA,33.83333333,33.83333333,NA,33.83333333,33.83333333,26.85714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72222222,4.125,3.4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.003053342,0,0,0
18006,16070107591132662016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-05T00:00:00.000Z,R025XY039ID,NA,42.0603873,-114.4443482,NA,NA,NA,NA,10.66666667,68.66666667,7.33333333,40,22,22,36.66666667,14.66666667,36.66666667,0,0,0,0,20.66666667,0,0,0,20.66666667,0,0,0,NA,NA,NA,NA,NA,18.44444444,29.42105263,25.72413793,19.625,27.29166667,31.125,73.29166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555556,5.125,4.1,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
18007,16070607494996552016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-06T00:00:00.000Z,R025XY010ID,NA,42.03136723,-114.4165066,NA,NA,NA,NA,12.66666667,74.66666667,0.66666667,10,54,8.66666667,60,53.33333333,32,0,0,0,0,10,0.66666667,0,1.33333333,10.66666667,0,0,0.66666667,NA,NA,NA,NA,NA,NA,39.46666667,39.46666667,NA,39.46666667,39.46666667,37.76470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22222222,3,3.57142857,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.004513006,0,0,0
18008,16070613164736692016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-06T00:00:00.000Z,R025XY011ID,NA,42.01357377,-114.4073993,NA,NA,NA,NA,18,60,0,8,37.33333333,4,40.66666667,37.33333333,32,0,0,0,0,18,0.66666667,0,3.33333333,18,0,0,0,NA,NA,NA,NA,NA,NA,54.86666667,54.86666667,NA,54.86666667,54.86666667,28.51851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22222222,4.33333333,4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.062795603,0,0,0
18009,16070707194826632016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-07-07T00:00:00.000Z,R011AY014ID,NA,42.07329691,-114.7285679,NA,NA,NA,NA,25.33333333,55.33333333,0,1.33333333,54,1.33333333,54.66666667,54,5.33333333,0,0,0,0,18.66666667,0,0,0.66666667,18.66666667,0,0,0,NA,NA,NA,NA,NA,2,42.89655172,41.53333333,NA,42.89655172,42.89655172,39.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11111111,2.09090909,2.14285714,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.025096253,0,0,0
18010,16061618094724562016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-17T00:00:00.000Z,R025XY008ID,NA,42.03300209,-114.6102932,NA,NA,NA,NA,5.33333333,87.33333333,7.33333333,2,78.66666667,1.33333333,72.66666667,72,36,0,0,0,0,4,0.66666667,0,2.66666667,4,0,0,0,NA,NA,NA,NA,NA,NA,48.34482759,48.34482759,NA,50.55555556,50.55555556,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888889,4.30769231,2.8,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
18011,16061713470439062016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-17T00:00:00.000Z,R025XY040ID,NA,42.04744129,-114.6953152,NA,NA,NA,NA,18.66666667,50.66666667,3.33333333,0,30,0,26.66666667,26.66666667,38,0,0,0,0,8,0,0,17.33333333,13.33333333,0,0,5.33333333,NA,NA,NA,NA,NA,NA,28.27272727,28.27272727,NA,30.15789474,30.15789474,32.92592593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94444444,3,2.9,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.119952947,0,0,0
18012,16061815093587332016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-18T00:00:00.000Z,R025XY003ID,NA,42.05483934,-114.6302241,NA,NA,NA,NA,0,94,14,38.66666667,85.33333333,36.66666667,86,78,27.33333333,0,0,0,0,3.33333333,0,0,2.66666667,3.33333333,0,0,0,NA,NA,NA,NA,NA,37.85714286,54,50.23333333,37.85714286,52.03571429,56.76190476,76.09090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38888889,5.73333333,3.66666667,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
18013,16061913020328982016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-19T00:00:00.000Z,R025XY010ID,NA,42.02573044,-114.4792029,NA,NA,NA,NA,13.33333333,67.33333333,2.66666667,32.66666667,40,11.33333333,44.66666667,37.33333333,19.33333333,0,0,0,0,15.33333333,0.66666667,0,0.66666667,18,0,0,2.66666667,NA,NA,NA,NA,NA,48.14285714,51.94444444,49.57692308,48.14285714,51.91666667,53.47058824,51.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88888889,6,3.77777778,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.000230246,0,0,0
18014,16051910541823782016-09-01,DIMA 5.0_ID_SHFO_2016.mdb,BLM_AIM,2016-05-17T00:00:00.000Z,R010XA007ID,NA,43.10970136,-114.6833677,NA,NA,NA,NA,20,65.33333333,5.33333333,23.33333333,30,16,40.66666667,26,22,0,0,0,0,3.33333333,0,0.66666667,10,4,0,0,0.66666667,NA,NA,NA,NA,NA,32.85714286,36.56521739,35.7,27.33333333,35.68,36.81818182,35.90909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44444444,3.18181818,3.85714286,2022-07-31T00:00:00.000Z,Snake River Plains,11,NORTH AMERICAN DESERTS,COLD DESERTS,Snake River Plain,Mountain Home Uplands,ID,Grasslands,0.055166568,0,0,0
