"rid","PrimaryKey","DBKey","ProjectKey","DateVisited","EcologicalSiteId","PercentCoveredByEcoSite","Latitude_NAD83","Longitude_NAD83","LocationStatus","LocationType","Latitude_NAD83_Actual","Longitude_NAD83_Actual","BareSoilCover","TotalFoliarCover","AH_AnnGrassCover","AH_ForbCover","AH_GrassCover","AH_PerenForbCover","AH_PerenForbGrassCover","AH_PerenGrassCover","AH_ShrubCover","FH_CyanobacteriaCover","FH_DepSoilCover","FH_DuffCover","FH_EmbLitterCover","FH_HerbLitterCover","FH_LichenCover","FH_MossCover","FH_RockCover","FH_TotalLitterCover","FH_VagrLichenCover","FH_WaterCover","FH_WoodyLitterCover","GapCover_101_200","GapCover_200_plus","GapCover_25_50","GapCover_25_plus","GapCover_51_100","Hgt_Forb_Avg","Hgt_Grass_Avg","Hgt_Herbaceous_Avg","Hgt_PerenForb_Avg","Hgt_PerenForbGrass_Avg","Hgt_PerenGrass_Avg","Hgt_Woody_Avg","RH_AnnualProd","RH_BareGround","RH_BioticIntegrity","RH_CommentsBI","RH_CommentsHF","RH_CommentsSS","RH_Compaction","RH_DeadDyingPlantParts","RH_FuncSructGroup","RH_Gullies","RH_HydrologicFunction","RH_InvasivePlants","RH_LitterAmount","RH_LitterMovement","RH_PedestalsTerracettes","RH_PlantCommunityComp","RH_ReprodCapabilityPeren","RH_Rills","RH_SoilSiteStability","RH_SoilSurfLossDeg","RH_SoilSurfResisErosion","RH_WaterFlowPatterns","RH_WindScouredAreas","SoilStability_All","SoilStability_Protected","SoilStability_Unprotected","DateLoadedInDb","mlra_name","mlrarsym","na_l1name","na_l2name","us_l3name","us_l4name","State","modis_landcover","horizontal_flux_total_MD","vertical_flux_MD","PM2_5_MD","PM10_MD","corrected_ecosite_id","corrected_mlra"
110615,"16101308525035072016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-12,"R042XB010NM",NA,32.239095,-106.618527,NA,NA,NA,NA,9,51.66666667,5,23.33333333,5,0,0,0,32.33333333,0,0,0,0,7,0,0,28,11.33333333,0,0,4.33333333,21.53333333,34.42666667,4.05333333,68.44,8.42666667,19.875,19.2,19.75862069,NA,44,44,68.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33333333,4.8,3.75,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",0.685349470584918,1.92029217621214e-06,0,0,"R042BB010NM","042B"
110616,"16100310170018152016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-02,"R042XB012NM",NA,31.835274,-107.023994,NA,NA,NA,NA,68.66666667,18,0,0,0,0,0,0,14,0,0,0,0,9,0,0,2.33333333,11,0,0,2,3.16,82.69333333,1.62666667,89.74666667,2.26666667,NA,22,22,NA,22,22,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",6.13807623757296,1.60190578139284e-05,4.78983057064819e-06,1.12229112044759e-05,"R042BB012NM","042B"
110617,"16081712471161842016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-16,"R042XB012NM",NA,32.027543,-106.944136,NA,NA,NA,NA,38.33333333,12,0,0.66666667,5,0,5,5,1.33333333,0,0,0,0,31,0,0,18,31.66666667,0,0,0.66666667,8.73333333,86.06666667,0.66666667,95.46666667,0,11,11.77777778,11.63636364,NA,11.77777778,11.77777778,11.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72222222,4,2.46666667,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",111.677854200267,0.00988979726769733,0.003065563250589,0.00695565564815791,"R042BB012NM","042B"
110618,"16080412354714602016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-03,"R042XC036NM",NA,31.818073,-107.405889,NA,NA,NA,NA,59.66666667,29.33333333,0,4.66666667,12,0.66666667,12.66666667,12,13,0,0,0,0,10.66666667,0,0,0,11,0,0,0.33333333,12.50666667,59.86666667,2.81333333,82.73333333,7.54666667,24.77777778,49.41666667,38.85714286,19,45.07142857,49.41666667,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38888889,2.4,2.38461538,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",4.6521793183979,2.76657259197608e-05,8.57436418804218e-06,1.94565686573874e-05,"R070BC036NM","070B"
110619,"16082408544987542016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-23,"R042XB014NM",NA,32.44974,-107.32378,NA,NA,NA,NA,79.66666667,14.66666667,0,0,13.33333333,0,13.33333333,13.33333333,0,0,0,0,0,5.66666667,0,0,0,5.66666667,0,0,0,16.97333333,60.82666667,4.24,89.94666667,7.90666667,NA,31.44444444,31.44444444,NA,31.44444444,31.44444444,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77777778,3,2.76470588,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Desert Grasslands","NM","Woody Savannas",27.832079318245,0.00013746358335654,4.73586066045565e-06,5.99238017232298e-05,"R042BB014NM","042B"
110620,"16082413194684612016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-23,"R042XB027NM",NA,32.492813,-107.236043,NA,NA,NA,NA,35,17,0,4,11.66666667,3.33333333,14.66666667,11.66666667,1.33333333,0,0,0,0,8,0,0,37.66666667,10.33333333,0,0,2.33333333,25.53333333,33.8,8.52,86.44,18.58666667,14,9.13333333,11.19230769,13.6,10.25,9.13333333,59.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44444444,3,3.47058824,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",10.9899124397408,5.43801714714495e-05,1.87217484040015e-06,2.37042281227157e-05,"R042BB027NM","042B"
110621,"16082509252268562016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-24,"R042XB012NM",NA,31.949524,-106.886231,NA,NA,NA,NA,51,29.33333333,0,1.33333333,15,1,16,15,21.33333333,0,0,0,0,17.66666667,0,0,0,19.66666667,0,0,2,11.34666667,58.42666667,0,80.41333333,10.64,19.5,36.16666667,33.78571429,18,34.76923077,36.16666667,64.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16666667,1.42857143,1,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",8.43155218162926,5.09390517598534e-05,1.47585270540432e-05,3.56962838373273e-05,"R042BB012NM","042B"
110622,"16120115331089512016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-29,"R042XB018NM",NA,32.4263,-107.06,NA,NA,NA,NA,39,50.66666667,1.66666667,9.33333333,43.33333333,1,42.33333333,41.66666667,0,0,0,0,0,5.66666667,0,0,4.66666667,5.66666667,0,0,0,6.12,30.48,5.97333333,56.01333333,13.44,4.6,35.20833333,29.93103448,8,42.94736842,44.88888889,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333,4.875,3,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Woody Savannas",2.68608911226912,1.23339410620945e-05,3.82257071603045e-06,8.67408169171568e-06,"R042BB018NM","042B"
110623,"16112309202346402016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-16,"R042XB015NM",NA,32.0112,-107.341,NA,NA,NA,NA,29.66666667,40,12,11.66666667,12,2,2,0,20,0,0,0,0,21.66666667,0,0,5.33333333,25,0,0,3.33333333,9.49333333,74.56,0.88,89.96,5.02666667,18.85714286,14.25,17.5862069,22.4,22.4,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38888889,2.83333333,3.66666667,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",7.15843794913704,4.68402995131831e-05,0,1.58392371265056e-05,"R042BB015NM","042B"
110624,"1611231027411542016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-20,"R042XB035NM",NA,32.2507,-106.6371,NA,NA,NA,NA,8.33333333,44,15,6.33333333,21.66666667,0.33333333,7,6.66666667,25,0,0,0,0,14,0,0,30.66666667,17,0,0,3,7.41333333,53.64,1.14666667,68.38666667,6.18666667,26.77777778,16.04761905,19.26666667,NA,34,34,69.35294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555556,3.8,3.46153846,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",2.16186477058462,2.71473570803337e-05,8.11725109632892e-06,1.90191406851705e-05,"R042BB035NM","042B"
110625,"16112311152389002016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-16,"R042XB012NM",NA,32.0299,-107.3818,NA,NA,NA,NA,62.66666667,16,0.66666667,2,0.66666667,0,0,0,10,0,0,0,0,19,0,0,0,21.33333333,0,0,2.33333333,5.78666667,81.46666667,0.52,87.77333333,0,8.91666667,NA,8.91666667,10,10,NA,60.88888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83333333,3.25,1.42857143,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",73.7984182300331,0.00137397709199774,0.00039808907032163,0.00096284522483428,"R042BB012NM","042B"
110626,"16112312420512502016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-21,"R042XB018NM",NA,31.9625,-107.0173,NA,NA,NA,NA,30,50.66666667,23,3.66666667,44,0.33333333,23.66666667,23.66666667,16,0,0,0,0,18,0,0,1.33333333,18,0,0,0,6.17333333,53.72,2.78666667,68.49333333,5.81333333,28.83333333,31.95652174,31.31034483,10,47.33333333,50.72727273,84.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44444444,5,3.75,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",4.50919492512428,4.60742040993854e-05,1.42797700865357e-05,3.24028725721362e-05,"R042BB018NM","042B"
110627,"16120116430894482016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-30,"R042XB015NM",NA,32.0237,-107.3331,NA,NA,NA,NA,52,25.33333333,8.33333333,10.33333333,8.33333333,3,3,0,1,0,0,0,0,21.66666667,0,0,0.33333333,22.33333333,0,0,0.66666667,9.6,73.62666667,1.06666667,92.82666667,8.53333333,21.4375,10.22222222,17.4,24.66666667,24.66666667,NA,96.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44444444,1,1.66666667,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",11.4057251998989,6.77031448476946e-05,0,2.28922356519068e-05,"R042BB015NM","042B"
110628,"16111616413783122016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-13,"R042XB021NM",NA,32.013304,-106.544725,NA,NA,NA,NA,7,14,0.33333333,4.66666667,5.33333333,4.66666667,9.66666667,5,4.33333333,0,0,0,0,11,0,0,67.33333333,11.66666667,0,0,0.66666667,17.49333333,70.02666667,1.56,93.82666667,4.74666667,9.42857143,7.35714286,8.04761905,9.42857143,8.04761905,7.35714286,21.85714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27777778,4,3.13333333,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",17.8972519420074,0.00065690806890416,8.47208333702088e-06,0.00022214691190899,"R042BB021NM","042B"
110629,"16111616421338472016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-14,"R042XB010NM",NA,32.262404,-106.597326,NA,NA,NA,NA,5.66666667,30.33333333,0,0.33333333,4.66666667,0.33333333,5,4.66666667,23,0,0,0,0,12.33333333,0,0,48.66666667,15.33333333,0,0,3,23.61333333,48.94666667,2.93333333,81.50666667,6.01333333,12.33333333,7.5,9.3125,12.33333333,9.3125,7.5,47.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555556,4.75,3.21428571,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",1.13193252708737,4.3025220042732e-06,0,1.87554805523074e-06,"R042BB010NM","042B"
110630,"16111616431594222016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-14,"R042XB021NM",NA,32.394479,-106.918573,NA,NA,NA,NA,2.33333333,58.33333333,0.33333333,6,31.66666667,6,35.66666667,31.33333333,22.33333333,0,0,0,0,10.33333333,0,0,26,13.33333333,0,0,3,24.61333333,11.69333333,7.45333333,61.21333333,17.45333333,10.83333333,44.95238095,37.37037037,10.83333333,37.37037037,44.95238095,62.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11111111,5.1,5.125,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",0.0186874441851244,0,0,0,"R042BB021NM","042B"
110631,"16111616433990922016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-15,"R042XB012NM",NA,31.799207,-107.276923,NA,NA,NA,NA,52.33333333,23.66666667,0,15.66666667,0,2,2,0,5.33333333,0,0,0,0,20.66666667,0,0,2.33333333,21.66666667,0,0,1,16.74666667,51.05333333,2.6,81.25333333,10.85333333,12.94444444,7.33333333,12.14285714,NA,NA,NA,65.42857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16666667,1.75,1,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",28.8916599926155,0.00031628765230773,9.16406275731078e-05,0.00022164713084659,"R042BB012NM","042B"
