"SpeciesCode","ScientificName","CommonName","Family","SortSeq","synonymOf","GrowthHabitCode","Duration","Stabilizing","DateModified","DateFound","PlotFirstFound","PotentialGenus","PotenialSpecies","PotentialSubspecies","Comments","PhotosTaken","PhotoNumbers","SpecimenCollected","IdentifiedTo","FinalCode","ChangedInDIMA","petalsNumber","petalsColor","petalsSize","sepalsNumber","sepalsColor","sepalsSize","stamensNumber","stamensColor","stamensSize","glumesPresent","ligulesPresent","Noxious","SG_Group","DBKey","DateLoadedInDb","created_user","created_date","last_edited_user","last_edited_date","GlobalID","GrowthHabit","GrowthHabitSub"
"AF1610","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-30 11:16:54,2019-05-02 18:00:00,"1905031204175116","mentesilia",NA,NA,"buttercup",1,NA,0,"Mentzelia obscura","MEOB3",1,5,"yellow",NA,NA,NA,NA,12,"yellow",NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{AEE0234E-7FD7-4D34-8746-459C96766A33}",NA,NA
"AF1611","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:10:18,2019-05-02 18:00:00,"1905031204175116","cryptantha",NA,NA,"stubby crypt",1,NA,1,"Cryptantha circumscissa","CRCI2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{4E122BD2-F966-4461-BB95-41B49BAFDB39}",NA,NA
"AF1612","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:12:46,2019-05-02 18:00:00,"1905031204175116",NA,NA,NA,"Tiny spines present",1,NA,1,"Eriastrum diffusum","ERDI2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{5213AECA-2841-4A06-B719-897DACCB0E38}",NA,NA
"AF1613","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-16 04:35:29,2019-05-15 18:00:00,"1905160751128978",NA,NA,NA,"looks like skinny COUM",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{C60D2620-887F-4112-B71E-7CBA0E1DFCFE}",NA,NA
"AF1614","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-12 06:43:30,2019-05-15 18:00:00,"1905160751128978",NA,NA,NA,"Purple edged leaves fuzzy, two inches",1,NA,1,"Cordylanthus ramosus","CORA5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{2639ED32-EFCF-4659-B2C6-EC69AD198A9D}",NA,NA
"AF1615","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-18 06:45:31,2019-05-17 18:00:00,"1905181053239335",NA,NA,NA,"longs pods. Tiny lvs and stems",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{41779484-C4B8-43A2-8FA1-CDB261B482CE}",NA,NA
"AF1616","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-09-04 06:02:34,2019-05-17 18:00:00,"1905181053239335",NA,NA,NA,"BLM ID'd to MIGR via pictures",0,NA,1,"MIGR","MIGR",1,5,"white",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{43730790-8764-4745-93B7-00D62CB63B79}",NA,NA
"AF1617","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-20 07:58:49,2019-05-19 18:00:00,"1905191632259994","draba",NA,NA,"silvery lvs. 1-2 inches",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{44736A0F-589B-4827-9D9C-28B1EF7143AD}",NA,NA
"AF1618","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-09-04 06:05:19,2019-05-29 18:00:00,"1905301809426003",NA,NA,NA,"red green alternating stems
MILI3, CECA3, CEEX",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{8DA80B80-69FD-4263-B2CA-CB2CB8CC663D}",NA,NA
"AF1619","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-12 05:31:09,2019-05-29 18:00:00,"1905301809426003",NA,NA,NA,"draba",1,NA,1,"Draba cuneifolia","DRCU",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{9FF381E5-DD9C-4FEE-9165-70B5E3CC1587}",NA,NA
"AF1620","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-30 13:40:37,2019-05-29 18:00:00,"1905301809426003",NA,NA,NA,"gisi like",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{D9811DDB-DE7F-440A-9A3C-86ED1991E5D5}",NA,NA
"AF1621","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-02 03:49:00,2019-06-01 18:00:00,"1906020720396286","euphorbia",NA,NA,"all lvs. Green on top, purple underneath",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{627E2D6C-216D-42B4-A80B-A3C4BBC15CC7}",NA,NA
"AF1622","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-16 12:14:48,2019-06-13 18:00:00,"190614125423502",NA,NA,NA,"very very thick fuzz. Basal lvs only",1,NA,1,"dasyochloa pulchella","DAPU7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{BECD4240-782C-4536-BFD0-1F7E25AD04D0}",NA,NA
"AF1623","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-17 04:36:43,2019-06-16 18:00:00,"999999999",NA,NA,NA,"bigsage-018. few small grey green basal lvs",1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{A77DC63B-1715-4D9C-B536-076B6AF10CEE}",NA,NA
"AF1624","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-07-14 03:54:25,2019-07-13 18:00:00,"1907140744399763","draba",NA,NA,"undersides of lvs more woolly. Fl still in bud",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{0D90D66A-A7A1-487B-A9BF-00765CC4ABFB}",NA,NA
"AF1625","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-07-25 06:35:03,2019-07-24 18:00:00,"1907251035255436",NA,NA,NA,"White petals, 5 petals, lanceolate leaves, 12 inches tall",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{DC6C5DC3-ED0F-47CC-A169-0EED0C581CBA}",NA,NA
"AF1626","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-07-27 09:26:54,2019-07-26 18:00:00,"1907271347546853","eriogonum",NA,NA,"extremely branched. Very slender. Many flowers.",1,NA,1,NA,NA,0,NA,"yellow",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{1178B64F-4F4B-46EE-9A77-86A57110EE4D}",NA,NA
"AF1627","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-07-28 04:36:39,2019-07-27 18:00:00,"1907280844447487",NA,NA,NA,"red stem. White glands on green lanc lvs.",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{BF7ADBD1-8544-497E-9643-0B00A04AB8BF}",NA,NA
"AF1628","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-09-04 06:21:01,2019-07-28 18:00:00,"1907291103515182",NA,NA,NA,"basal lvs. Highly branched
BLM ID'd to STFL2",1,NA,1,"STFL2","STFL2",1,6,"yellow",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{44D927D6-EFC3-4562-87E8-5549F8BEB3E2}",NA,NA
"AF1629","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-07-30 02:49:13,2019-07-29 18:00:00,"1907281533067818",NA,NA,NA,"wavy pods. Basal leaves",0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{2E20D9B8-1CB7-41F0-BEA6-0771095536A3}",NA,NA
"AF1630","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{E8445261-5872-436B-BA8D-263F36A056B2}",NA,NA
"AF1631","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{28AC6462-F79B-45E1-9341-EFFF9F3B24C5}",NA,NA
"AF1632","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{3A90C201-F03B-47B1-93A3-2A963B37E1BB}",NA,NA
"AF1633","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{0B8EAA3D-B248-47CD-BFB6-D4FFD5465416}",NA,NA
"AF1634","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{64A96BD6-5E85-4FC8-8D99-0745A8AB4894}",NA,NA
"AF1635","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{D13059B5-4B2C-47E7-857F-7C2D48305418}",NA,NA
"AF1636","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{195B0DEB-ABD4-4847-AFF9-4809D214E3EC}",NA,NA
"AF1637","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{617AA91E-A514-46F0-8545-19FAE3229B4D}",NA,NA
"AF1638","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{39062378-F65E-47D7-BA6F-FD04DD00AE4A}",NA,NA
"AF1639","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{59D6FCE3-809C-4FC5-8563-142D740582F3}",NA,NA
"AF1640","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{238DCD0F-73B0-4F83-A432-9236E023C904}",NA,NA
"AF1641","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{6CC0B8C9-0CF0-4391-9895-4E0BEC2B7E66}",NA,NA
"AF1642","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{7321E27B-14C9-41EE-B0BC-F6D95658CDAE}",NA,NA
"AF1643","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{A0C53294-DD1E-460F-AA52-37C060F3BD2F}",NA,NA
"AF1644","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{37BFAEFE-FEE0-46A9-BAB7-382327BD8914}",NA,NA
"AF1645","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{4A9187C0-AE53-4C01-9B7E-659EF30C0E21}",NA,NA
"AF1646","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{B9893784-C639-4AAB-9297-A5FFAE2017C3}",NA,NA
"AF1647","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{BAE0C8A8-E3FC-4D00-9700-E35A5AA8A0D0}",NA,NA
"AF1648","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{80058E16-8892-4DAF-A0B3-A7659DA6B102}",NA,NA
"AF1649","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2000-01-01 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{E24A79BC-5A43-44A8-995A-92F1C18F6445}",NA,NA
