"SpeciesCode","ScientificName","Family","GrowthHabit","GrowthHabitSub","Duration","Noxious","SG_Group","SynonymOf","created_user","created_date","last_edited_user","last_edited_date","GlobalID","CommonName","DateLoadedInDb","SpeciesState","Notes","UpdatedSpeciesCode","AllCalcs"
"ABNA","Abronia nana S. Watson","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{B7BC2B5B-58FE-4528-AACB-CE16E3279770}","dwarf sand verbena","2018-09-01","UT",NA,NA,NA
"ABAU","Abutilon auritum (Wall. ex Link) Sweet ",NA,NA,NA,NA,"NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{93838433-2DDB-4DF0-AEFC-60C3D505FA83}","Asian Indian mallow","2018-09-01","UT","Not found in Utah",NA,NA
"ACCO2","Acacia constricta","Fabaceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{219E0F4F-40A3-41CE-A0D7-20F986FB5990}","whitethorn acacia","2018-09-01","UT",NA,"VACO9",NA
"ACNE4","Acacia neovernicosa","Fabaceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7568C877-582F-4D39-91A5-4C299AA8D31B}","viscid acacia","2018-09-01","UT",NA,"VAVE",NA
"ACSP","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray","Asteraceae","Woody","SubShrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{FF3EAA08-6603-4AD7-AFC5-9D2DB99050F8}","rayless goldenhead","2018-09-01","UT",NA,NA,NA
"ACWR6","Acanthochiton wrightii","Amaranthaceae","NonWoody","Forb","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{23ADF514-48FC-448C-9A3B-3E8B48863F28}","greenstripe","2018-09-01","UT",NA,"AMAC",NA
"ACGL","Acer glabrum Torr.","Aceraceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{314A69D5-7524-4CB5-B627-2F9709CF11FC}","Rocky Mountain maple","2018-09-01","UT",NA,NA,NA
"ACGLG2","Acer glabrum Torr. var. glabrum","Aceraceae","Woody","Shrub","Perennial","NO","NonSagebrushShrub",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8F710DFF-6A91-4ECF-9E3F-4C06527EC3CE}","Rocky Mountain maple","2018-09-01","UT",NA,NA,NA
"ACGR3","Acer grandidentatum Nutt.","Aceraceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{0F283D66-4D51-4B2C-B149-4FCF5F578519}","bigtooth maple","2018-09-01","UT",NA,NA,NA
"ACNE2","Acer negundo L.","Aceraceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{82497D59-5D5E-4CD0-A6C9-811C7E5B9EFB}","boxelder","2018-09-01","UT",NA,NA,NA
"ACHIL","Achillea L.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{DE02E037-74A7-4875-82FD-2C01B83A2763}","yarrow","2018-09-01","UT",NA,"ASTR10",NA
"ACLAA2","Achillea lanulosa Nutt. var. alpicola Rydb.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{90C3C389-E895-467F-8F92-FA1250E1B5A0}","common yarrow","2018-09-01","UT",NA,NA,NA
"ACMI2","Achillea millefolium","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{319BC493-0F28-45FA-B575-4D97D91CF257}","yarrow","2018-09-01","UT",NA,"ACMIO",NA
"ACMIO","Achillea millefolium L. var. occidentalis DC.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{1A61B45D-5FAC-45E1-BB5C-E0A347A62D35}","western yarrow","2018-09-01","UT",NA,NA,NA
"ACLA5","Achillea millefolium occidentalis","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{592963B6-8397-4AD0-B3B3-01A04857126E}","western yarrow","2018-09-01","UT",NA,NA,NA
"ACAR14","Achnatherum aridum (M.E. Jones) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{06645A10-6690-4155-9B86-51FA9EB3CF3F}","Mormon needlegrass","2018-09-01","UT",NA,NA,NA
"ACNE10","Achnatherum nelsonii (Scribn.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{181457A2-1B33-4A9B-9FEF-490F995E5223}","Columbia needlegrass","2018-09-01","UT",NA,NA,NA
"ACOCO","Achnatherum occidentale spp. occidentale","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8B009D5E-627F-4AD7-AC72-8C496F456CA2}","Western needlegrass","2018-09-01","UT",NA,NA,NA
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F5C009CA-AF40-4945-A3B4-CE1AE778E218}","Indian ricegrass","2018-09-01","UT",NA,NA,NA
"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9894925B-295C-4381-A184-005352D3F45B}","Letterman's needlegrass","2018-09-01","UT",NA,"ACHY",NA
"ACNE9","Achnatherum nelsonii (Scribn.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{563974F4-5F40-486F-8EC6-613AF5216BE3}","Columbia needlegrass","2018-09-01","UT",NA,"ACNE10",NA
"ACNEN2","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{38D0A14F-833A-40D1-A322-37D4D3004389}","Columbia needlegrass","2018-09-01","UT",NA,NA,NA
"ACNED","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{DC2E7735-7448-45E7-9592-0B14347F81DE}","Dore's needlegrass","2018-09-01","UT",NA,NA,NA
"ACOC3","Achnatherum occidentale (Thurb.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9DD6F7D2-F0BC-4216-80C5-9D09BFC43205}","western needlegrass","2018-09-01","UT",NA,"ACNEN2",NA
"ACCO22","Achnatherum P. Beauv.","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7649F80A-E9CD-4682-BEDD-EF5199982E65}","needlegrass","2018-09-01","UT",NA,NA,NA
"ACHNA","Achnatherum P. Beauv.","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7D8BEB1E-69B6-4D29-8CE9-C615340616C5}","needlegrass","2018-09-01","UT",NA,"ACCO22",NA
"ACPA13","Achnatherum parishii (Vasey) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D59446C2-F1DD-48E1-A5E0-AA0C18189621}","Parish's needlegrass","2018-09-01","UT",NA,NA,NA
"ACPI2","Achnatherum pinetorum (M.E. Jones) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{9B3E7891-91E0-4BA5-A253-CD6B0D61B47B}","pine needlegrass","2018-09-01","UT",NA,NA,NA
"ACRI8","Achnatherum richardsonii (Link) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{A3D87D07-07B3-4FF5-9EF8-C13F66057D82}","Richardson's needlegrass","2018-09-01","UT",NA,"ACPI2",NA
"ACRO7","Achnatherum robustum (Vasey) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{3766C0B2-DCF7-45AC-A43D-166FD0F2387A}","sleepygrass","2018-09-01","UT",NA,"ACPI2",NA
"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{671D06A9-E08E-411A-AB63-ACC41CCC0C4B}","Scribner needlegrass","2018-09-01","UT",NA,"ACPI2",NA
"ACSP12","Achnatherum speciosum (Trin. & Rupr.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{90EAFC4A-8BD3-453D-BE7D-108DE8CA268B}","desert needlegrass","2018-09-01","UT",NA,NA,NA
"ACTH7","Achnatherum thurberianum","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{1E9CE017-1637-4AEA-8E36-C53E68F359B5}","Thurber’s needlegrass","2018-09-01","UT",NA,NA,NA
"STTH2","Achnatherum thurberianum","Poaceae","NonWoody","Graminoid","Perennial","NO","TallStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{69E9512C-CE23-482F-A6AD-F4964B344913}","Thurber’s needlegrass","2018-09-01","UT",NA,"ACTH7",NA
"ACWE3","Achnatherum webberi (Thurb.) Barkworth","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{5CDF7BF7-941C-43CF-BC26-E0D7D76CE16C}","Webber needlegrass","2018-09-01","UT",NA,NA,NA
"ACCOC3","Achyronychia cooperi Torr. & A. Gray ","Caryophyllaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D8A82B66-D176-4BE9-B431-317CCDD02F9A}","onyxflower","2018-09-01","UT",NA,NA,NA
"AMCH3","Acleisanthes chenopodioides","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{4847F4AE-766C-4DC6-9DCF-34E413060EBE}","goosefoot moonpod","2018-09-01","UT",NA,NA,NA
"ACCO4","Aconitum columbianum Nutt.","Ranunculaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{FDD6037C-3F86-4ADC-BACB-0C799985004C}","Columbian monkshood","2018-09-01","UT",NA,NA,NA
"ACNA2","Acourtia nana","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{FB23FED9-EB59-4FD4-98A6-862A71C0768E}","dwarf desertpeony","2018-09-01","UT",NA,NA,NA
"ACWR5","Acourtia wrightii","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{3CDF78A2-26CE-4A63-9945-5A95FF726B04}","brownfoot","2018-09-01","UT",NA,NA,NA
"ACRE3","Acroptilon repens","Asteraceae","NonWoody","Forb","Perennial","YES",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{E057C7D6-EB12-4DF6-9954-EDBF436DC907}","Russian knapweed, hardheads","2018-09-01","UT",NA,NA,NA
"ACTAE","Actaea L.","Ranunculaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{FF89B25B-FE24-463B-A58F-117F08772754}","baneberry","2018-09-01","UT",NA,"ACCOC3",NA
"ACRU2","Actaea rubra (Aiton) Willd.","Ranunculaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{23A4AD22-858E-4351-AACF-8AA471A61B65}","red baneberry","2018-09-01","UT",NA,"ACCOC3",NA
"ACRUA8","Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultn","Ranunculaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{86FFA448-A74C-4006-A476-6E6AE20D6BD2}","red baneberry","2018-09-01","UT",NA,"ACCOC3",NA
"ACRUA","Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson","Ranunculaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{610EEE69-9622-4CCA-A16E-C525258999AA}","red baneberry","2018-09-01","UT",NA,"ACCOC3",NA
"ADLE","Adenolinum lewisii","Linaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{E8779887-3251-4993-B108-F1B4792FDE2B}","blue flax","2018-09-01","UT",NA,NA,NA
"ADCA","Adiantum capillus-verneris L.","Pteridaceae","NonWoody","Forb","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{EDE44A2B-2838-4655-9E7A-3F909E1BA58F}","common maidehair","2018-09-01","UT",NA,NA,NA
"AECY","Aegilops cylindrica Host","Poaceae","NonWoody","Graminoid","Annual","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{1FC772F7-FDBC-48DC-981D-B4E36C9C9E22}","jointed goatgrass","2018-09-01","UT",NA,NA,NA
"AGPAG4","Agastache pallidiflora (A. Heller) Rydb. ssp. pallidiflora var. greenei (Briq.) R.W. Sanders","Lamiaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{358D70C5-17D9-4230-A3D1-B1394EC36E51}","Bill Williams Mountain Giant Hyssop","2018-09-01","UT",NA,NA,NA
"AGUR","Agastache urticifolia (Benth.) Kuntze","Lamiaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D9F174EF-FF73-4030-BFD0-27E0B1A83F94}","nettleleaf giant hyssop","2018-09-01","UT",NA,"AGPAG4",NA
"AGLE","Agave lechuguilla","Agavaceae","Woody","Succulent","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{8AD17DCF-0B1A-432B-87DB-0329CFF6B8DF}","lechuguilla","2018-09-01","UT",NA,NA,NA
"AGLOP","Agave lophantha var. poselgeri","Agavaceae","Woody","Succulent","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{EDFD5EFF-9339-4328-8C1C-916CA321B9FD}","lechuguilla","2018-09-01","UT",NA,"AGLE",NA
"AGPAP5","Agave parryi Engelm. ssp. parryi ","Agavaceae","Woody","Succulent","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{E8ABC30B-C33A-4519-AA5B-7CD6FB318BB4}","Parry's agave","2018-09-01","UT",NA,NA,NA
"AGHE5","Ageratina herbacea (A. Gray) R.M. King & H. Rob.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{85BE772F-03E2-4936-B7F3-9CC0FE1101C6}","fragrant snakeroot","2018-09-01","UT",NA,"AGGLG",NA
"AGWR2","Ageratina wrightii (A. Gray) R.M. King & H. Rob. ","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{BFD501DC-D6FE-4362-9D70-5794488A0207}","Wright's snakefoot","2018-09-01","UT",NA,NA,NA
"AGAU2","Agoseris aurantiaca (Hook.) Greene","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{AF28D70E-666E-4B40-A177-25413BAA9072}","orange agoseris","2018-09-01","UT",NA,"ACRE3",NA
"AGAUA","Agoseris aurantiaca (Hook.) Greene var. aurantiaca","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F5D2A9F6-FED1-4622-89D6-01CFFF17D854}","orange agoseris","2018-09-01","UT",NA,NA,NA
"AGGL","Agoseris glauca","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7817A7B7-D8F3-4B60-9353-E41285EB5C72}","false-dandelion, pale agoseris","2018-09-01","UT",NA,NA,NA
"AGGLG","Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{09CE81CA-52CA-4139-9579-6C8FB80C61F4}","false agoseris","2018-09-01","UT",NA,NA,NA
"AGHEH","Agoseris heterophylla (Nutt.) Greene var. heterophylla","Astertrete","NonWoody","Forb","Annual","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{A23C9504-BCD3-4E8B-9F55-42D7CA5B2219}","annual agoseris","2018-09-01","UT",NA,"AGGLG",NA
"AGAUP","Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist","Asteraceae","Woody","SubShrub","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{037117DC-8A91-4293-A3DE-2EDF1583F9A2}","orange agoseris","2018-09-01","UT",NA,"AGAUA",NA
"AGGLL","Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{3C84C186-FEDB-4CBD-85BA-1C2592118D83}","false agoseris","2018-09-01","UT",NA,"AGGLG",NA
"AGPA14","Agoseris parviflora (Nutt.) Greene","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{547CDBA2-C085-4470-A037-1942E2F3BA6A}","false agoseris","2018-09-01","UT",NA,"AGGLG",NA
"AGOSE","Agoseris spp.","Asteraceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D477EDB1-32AB-46D4-BA76-9A2E09E45E4B}","Agoseris","2018-09-01","UT",NA,NA,NA
"AGAR","Agropyron arizonicum","Poaceae","NonWoody","Graminoid","Perennial","NO","ShortStaturePerennialGrass",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{3165BB76-E00B-4414-971C-8C4803D61A4B}","Arizona wheatgrass","2018-09-01","UT",NA,"ELAR7",NA
